Million Plus Cities,Cause category,Cause Subcategory,Outcome of Incident,Count
Agra,Traffic Control,Flashing Signal/Blinker,Greviously Injured,0.0
Agra,Traffic Control,Flashing Signal/Blinker,Minor Injury,0.0
Agra,Traffic Control,Flashing Signal/Blinker,Persons Killed,0.0
Agra,Traffic Control,Flashing Signal/Blinker,Total Injured,0.0
Agra,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,0.0
Agra,Traffic Control,Others,Greviously Injured,175.0
Agra,Traffic Control,Others,Minor Injury,91.0
Agra,Traffic Control,Others,Persons Killed,373.0
Agra,Traffic Control,Others,Total Injured,266.0
Agra,Traffic Control,Others,Total number of Accidents,470.0
Agra,Traffic Control,Police Controlled,Greviously Injured,0.0
Agra,Traffic Control,Police Controlled,Minor Injury,0.0
Agra,Traffic Control,Police Controlled,Persons Killed,0.0
Agra,Traffic Control,Police Controlled,Total Injured,0.0
Agra,Traffic Control,Police Controlled,Total number of Accidents,0.0
Agra,Traffic Control,Stop Sign,Greviously Injured,0.0
Agra,Traffic Control,Stop Sign,Minor Injury,0.0
Agra,Traffic Control,Stop Sign,Persons Killed,0.0
Agra,Traffic Control,Stop Sign,Total Injured,0.0
Agra,Traffic Control,Stop Sign,Total number of Accidents,0.0
Agra,Traffic Control,Traffic Light Signal,Greviously Injured,30.0
Agra,Traffic Control,Traffic Light Signal,Minor Injury,37.0
Agra,Traffic Control,Traffic Light Signal,Persons Killed,18.0
Agra,Traffic Control,Traffic Light Signal,Total Injured,67.0
Agra,Traffic Control,Traffic Light Signal,Total number of Accidents,66.0
Agra,Traffic Control,Uncontrolled,Greviously Injured,172.0
Agra,Traffic Control,Uncontrolled,Minor Injury,128.0
Agra,Traffic Control,Uncontrolled,Persons Killed,123.0
Agra,Traffic Control,Uncontrolled,Total Injured,300.0
Agra,Traffic Control,Uncontrolled,Total number of Accidents,370.0
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Greviously Injured,4.0
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Minor Injury,1.0
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Persons Killed,3.0
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Total Injured,5.0
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,8.0
Ahmedabad,Traffic Control,Others,Greviously Injured,229.0
Ahmedabad,Traffic Control,Others,Minor Injury,122.0
Ahmedabad,Traffic Control,Others,Persons Killed,166.0
Ahmedabad,Traffic Control,Others,Total Injured,351.0
Ahmedabad,Traffic Control,Others,Total number of Accidents,642.0
Ahmedabad,Traffic Control,Police Controlled,Greviously Injured,11.0
Ahmedabad,Traffic Control,Police Controlled,Minor Injury,13.0
Ahmedabad,Traffic Control,Police Controlled,Persons Killed,13.0
Ahmedabad,Traffic Control,Police Controlled,Total Injured,24.0
Ahmedabad,Traffic Control,Police Controlled,Total number of Accidents,35.0
Ahmedabad,Traffic Control,Stop Sign,Greviously Injured,3.0
Ahmedabad,Traffic Control,Stop Sign,Minor Injury,2.0
Ahmedabad,Traffic Control,Stop Sign,Persons Killed,3.0
Ahmedabad,Traffic Control,Stop Sign,Total Injured,5.0
Ahmedabad,Traffic Control,Stop Sign,Total number of Accidents,8.0
Ahmedabad,Traffic Control,Traffic Light Signal,Greviously Injured,41.0
Ahmedabad,Traffic Control,Traffic Light Signal,Minor Injury,9.0
Ahmedabad,Traffic Control,Traffic Light Signal,Persons Killed,14.0
Ahmedabad,Traffic Control,Traffic Light Signal,Total Injured,50.0
Ahmedabad,Traffic Control,Traffic Light Signal,Total number of Accidents,58.0
Ahmedabad,Traffic Control,Uncontrolled,Greviously Injured,188.0
Ahmedabad,Traffic Control,Uncontrolled,Minor Injury,163.0
Ahmedabad,Traffic Control,Uncontrolled,Persons Killed,141.0
Ahmedabad,Traffic Control,Uncontrolled,Total Injured,351.0
Ahmedabad,Traffic Control,Uncontrolled,Total number of Accidents,434.0
Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Greviously Injured,26.0
Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Minor Injury,49.0
Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Persons Killed,39.0
Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Total Injured,75.0
Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Total number of Accidents,104.0
Allahabad(Prayagraj),Traffic Control,Others,Greviously Injured,9.0
Allahabad(Prayagraj),Traffic Control,Others,Minor Injury,338.0
Allahabad(Prayagraj),Traffic Control,Others,Persons Killed,277.0
Allahabad(Prayagraj),Traffic Control,Others,Total Injured,347.0
Allahabad(Prayagraj),Traffic Control,Others,Total number of Accidents,577.0
Allahabad(Prayagraj),Traffic Control,Police Controlled,Greviously Injured,18.0
Allahabad(Prayagraj),Traffic Control,Police Controlled,Minor Injury,55.0
Allahabad(Prayagraj),Traffic Control,Police Controlled,Persons Killed,51.0
Allahabad(Prayagraj),Traffic Control,Police Controlled,Total Injured,73.0
Allahabad(Prayagraj),Traffic Control,Police Controlled,Total number of Accidents,101.0
Allahabad(Prayagraj),Traffic Control,Stop Sign,Greviously Injured,24.0
Allahabad(Prayagraj),Traffic Control,Stop Sign,Minor Injury,52.0
Allahabad(Prayagraj),Traffic Control,Stop Sign,Persons Killed,62.0
Allahabad(Prayagraj),Traffic Control,Stop Sign,Total Injured,76.0
Allahabad(Prayagraj),Traffic Control,Stop Sign,Total number of Accidents,127.0
Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Greviously Injured,22.0
Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Minor Injury,61.0
Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Persons Killed,45.0
Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Total Injured,83.0
Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Total number of Accidents,124.0
Allahabad(Prayagraj),Traffic Control,Uncontrolled,Greviously Injured,22.0
Allahabad(Prayagraj),Traffic Control,Uncontrolled,Minor Injury,56.0
Allahabad(Prayagraj),Traffic Control,Uncontrolled,Persons Killed,43.0
Allahabad(Prayagraj),Traffic Control,Uncontrolled,Total Injured,78.0
Allahabad(Prayagraj),Traffic Control,Uncontrolled,Total number of Accidents,119.0
Amritsar,Traffic Control,Flashing Signal/Blinker,Greviously Injured,5.0
Amritsar,Traffic Control,Flashing Signal/Blinker,Minor Injury,7.0
Amritsar,Traffic Control,Flashing Signal/Blinker,Persons Killed,13.0
Amritsar,Traffic Control,Flashing Signal/Blinker,Total Injured,12.0
Amritsar,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,0.0
Amritsar,Traffic Control,Others,Greviously Injured,19.0
Amritsar,Traffic Control,Others,Minor Injury,8.0
Amritsar,Traffic Control,Others,Persons Killed,29.0
Amritsar,Traffic Control,Others,Total Injured,27.0
Amritsar,Traffic Control,Others,Total number of Accidents,44.0
Amritsar,Traffic Control,Police Controlled,Greviously Injured,0.0
Amritsar,Traffic Control,Police Controlled,Minor Injury,0.0
Amritsar,Traffic Control,Police Controlled,Persons Killed,2.0
Amritsar,Traffic Control,Police Controlled,Total Injured,0.0
Amritsar,Traffic Control,Police Controlled,Total number of Accidents,0.0
Amritsar,Traffic Control,Stop Sign,Greviously Injured,7.0
Amritsar,Traffic Control,Stop Sign,Minor Injury,1.0
Amritsar,Traffic Control,Stop Sign,Persons Killed,6.0
Amritsar,Traffic Control,Stop Sign,Total Injured,8.0
Amritsar,Traffic Control,Stop Sign,Total number of Accidents,0.0
Amritsar,Traffic Control,Traffic Light Signal,Greviously Injured,6.0
Amritsar,Traffic Control,Traffic Light Signal,Minor Injury,4.0
Amritsar,Traffic Control,Traffic Light Signal,Persons Killed,10.0
Amritsar,Traffic Control,Traffic Light Signal,Total Injured,10.0
Amritsar,Traffic Control,Traffic Light Signal,Total number of Accidents,1.0
Amritsar,Traffic Control,Uncontrolled,Greviously Injured,1.0
Amritsar,Traffic Control,Uncontrolled,Minor Injury,1.0
Amritsar,Traffic Control,Uncontrolled,Persons Killed,6.0
Amritsar,Traffic Control,Uncontrolled,Total Injured,2.0
Amritsar,Traffic Control,Uncontrolled,Total number of Accidents,55.0
Asansol Durgapur,Traffic Control,Flashing Signal/Blinker,Greviously Injured,0.0
Asansol Durgapur,Traffic Control,Flashing Signal/Blinker,Minor Injury,0.0
Asansol Durgapur,Traffic Control,Flashing Signal/Blinker,Persons Killed,0.0
Asansol Durgapur,Traffic Control,Flashing Signal/Blinker,Total Injured,0.0
Asansol Durgapur,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,0.0
Asansol Durgapur,Traffic Control,Others,Greviously Injured,183.0
Asansol Durgapur,Traffic Control,Others,Minor Injury,41.0
Asansol Durgapur,Traffic Control,Others,Persons Killed,299.0
