Datetime,100034978 (Gartenstraße),101034978 (Gartenstraße einwärts),102034978 (Gartenstraße auswärts),100034978-status,101034978-status,102034978-status
2022-07-01 00:00,2,0,2,0,0,0
2022-07-01 00:15,4,2,2,0,0,0
2022-07-01 00:30,4,2,2,0,0,0
2022-07-01 00:45,1,0,1,0,0,0
2022-07-01 01:00,0,0,0,0,0,0
2022-07-01 01:15,2,0,2,0,0,0
2022-07-01 01:30,0,0,0,0,0,0
2022-07-01 01:45,2,1,1,0,0,0
2022-07-01 02:00,2,0,2,0,0,0
2022-07-01 02:15,4,3,1,0,0,0
2022-07-01 02:30,2,1,1,0,0,0
2022-07-01 02:45,1,1,0,0,0,0
2022-07-01 03:00,1,0,1,0,0,0
2022-07-01 03:15,0,0,0,0,0,0
2022-07-01 03:30,1,1,0,0,0,0
2022-07-01 03:45,2,1,1,0,0,0
2022-07-01 04:00,1,0,1,0,0,0
2022-07-01 04:15,2,1,1,0,0,0
2022-07-01 04:30,3,1,2,0,0,0
2022-07-01 04:45,3,3,0,0,0,0
2022-07-01 05:00,1,0,1,0,0,0
2022-07-01 05:15,5,3,2,0,0,0
2022-07-01 05:30,6,5,1,0,0,0
2022-07-01 05:45,10,3,7,0,0,0
2022-07-01 06:00,12,6,6,0,0,0
2022-07-01 06:15,13,6,7,0,0,0
2022-07-01 06:30,25,15,10,0,0,0
2022-07-01 06:45,24,15,9,0,0,0
2022-07-01 07:00,30,16,14,0,0,0
2022-07-01 07:15,37,22,15,0,0,0
2022-07-01 07:30,45,35,10,0,0,0
2022-07-01 07:45,69,52,17,0,0,0
2022-07-01 08:00,52,43,9,0,0,0
2022-07-01 08:15,36,23,13,0,0,0
2022-07-01 08:30,46,26,20,0,0,0
2022-07-01 08:45,60,37,23,0,0,0
2022-07-01 09:00,39,24,15,0,0,0
2022-07-01 09:15,34,28,6,0,0,0
2022-07-01 09:30,43,22,21,0,0,0
2022-07-01 09:45,49,34,15,0,0,0
2022-07-01 10:00,35,19,16,0,0,0
2022-07-01 10:15,27,16,11,0,0,0
2022-07-01 10:30,45,26,19,0,0,0
2022-07-01 10:45,23,14,9,0,0,0
2022-07-01 11:00,33,19,14,0,0,0
2022-07-01 11:15,45,30,15,0,0,0
2022-07-01 11:30,39,24,15,0,0,0
2022-07-01 11:45,45,25,20,0,0,0
2022-07-01 12:00,51,33,18,0,0,0
2022-07-01 12:15,42,23,19,0,0,0
2022-07-01 12:30,41,24,17,0,0,0
2022-07-01 12:45,41,23,18,0,0,0
2022-07-01 13:00,61,27,34,0,0,0
2022-07-01 13:15,51,23,28,0,0,0
2022-07-01 13:30,56,34,22,0,0,0
2022-07-01 13:45,52,32,20,0,0,0
2022-07-01 14:00,52,26,26,0,0,0
2022-07-01 14:15,62,36,26,0,0,0
2022-07-01 14:30,60,33,27,0,0,0
2022-07-01 14:45,69,43,26,0,0,0
2022-07-01 15:00,56,30,26,0,0,0
2022-07-01 15:15,56,32,24,0,0,0
2022-07-01 15:30,46,30,16,0,0,0
2022-07-01 15:45,69,38,31,0,0,0
2022-07-01 16:00,72,36,36,0,0,0
2022-07-01 16:15,58,26,32,0,0,0
2022-07-01 16:30,54,33,21,0,0,0
2022-07-01 16:45,57,35,22,0,0,0
2022-07-01 17:00,47,27,20,0,0,0
2022-07-01 17:15,43,26,17,0,0,0
2022-07-01 17:30,57,37,20,0,0,0
2022-07-01 17:45,71,36,35,0,0,0
2022-07-01 18:00,57,33,24,0,0,0
2022-07-01 18:15,48,22,26,0,0,0
2022-07-01 18:30,47,22,25,0,0,0
2022-07-01 18:45,52,34,18,0,0,0
2022-07-01 19:00,41,18,23,0,0,0
2022-07-01 19:15,43,26,17,0,0,0
2022-07-01 19:30,50,26,24,0,0,0
2022-07-01 19:45,41,19,22,0,0,0
2022-07-01 20:00,48,20,28,0,0,0
2022-07-01 20:15,28,15,13,0,0,0
