Datetime,100034980 (Hammer Straße),101034980 (Hammer Straße stadteinwärts),102034980 (Hammer Straße stadtauswärts),100034980-status,101034980-status,102034980-status
2021-04-01 00:00,11,5,6,0,0,0
2021-04-01 00:15,11,5,6,0,0,0
2021-04-01 00:30,6,2,4,0,0,0
2021-04-01 00:45,5,2,3,0,0,0
2021-04-01 01:00,5,1,4,0,0,0
2021-04-01 01:15,2,1,1,0,0,0
2021-04-01 01:30,3,1,2,0,0,0
2021-04-01 01:45,2,1,1,0,0,0
2021-04-01 02:00,2,2,0,0,0,0
2021-04-01 02:15,0,0,0,0,0,0
2021-04-01 02:30,3,2,1,0,0,0
2021-04-01 02:45,0,0,0,0,0,0
2021-04-01 03:00,1,0,1,0,0,0
2021-04-01 03:15,1,1,0,0,0,0
2021-04-01 03:30,0,0,0,0,0,0
2021-04-01 03:45,6,5,1,0,0,0
2021-04-01 04:00,1,1,0,0,0,0
2021-04-01 04:15,3,2,1,0,0,0
2021-04-01 04:30,3,3,0,0,0,0
2021-04-01 04:45,1,0,1,0,0,0
2021-04-01 05:00,3,2,1,0,0,0
2021-04-01 05:15,13,3,10,0,0,0
2021-04-01 05:30,16,16,0,0,0,0
2021-04-01 05:45,14,12,2,0,0,0
2021-04-01 06:00,16,9,7,0,0,0
2021-04-01 06:15,21,20,1,0,0,0
2021-04-01 06:30,30,21,9,0,0,0
2021-04-01 06:45,39,24,15,0,0,0
2021-04-01 07:00,59,35,24,0,0,0
2021-04-01 07:15,72,49,23,0,0,0
2021-04-01 07:30,81,54,27,0,0,0
2021-04-01 07:45,99,73,26,0,0,0
2021-04-01 08:00,82,56,26,0,0,0
2021-04-01 08:15,107,61,46,0,0,0
2021-04-01 08:30,104,58,46,0,0,0
2021-04-01 08:45,109,72,37,0,0,0
2021-04-01 09:00,87,57,30,0,0,0
2021-04-01 09:15,96,43,53,0,0,0
2021-04-01 09:30,88,56,32,0,0,0
2021-04-01 09:45,113,74,39,0,0,0
2021-04-01 10:00,95,49,46,0,0,0
2021-04-01 10:15,97,42,55,0,0,0
2021-04-01 10:30,93,51,42,0,0,0
2021-04-01 10:45,135,67,68,0,0,0
2021-04-01 11:00,118,51,67,0,0,0
2021-04-01 11:15,115,57,58,0,0,0
2021-04-01 11:30,109,58,51,0,0,0
2021-04-01 11:45,107,39,68,0,0,0
2021-04-01 12:00,149,78,71,0,0,0
2021-04-01 12:15,129,50,79,0,0,0
2021-04-01 12:30,129,55,74,0,0,0
2021-04-01 12:45,139,62,77,0,0,0
2021-04-01 13:00,128,61,67,0,0,0
2021-04-01 13:15,134,54,80,0,0,0
2021-04-01 13:30,132,64,68,0,0,0
2021-04-01 13:45,127,57,70,0,0,0
2021-04-01 14:00,110,48,62,0,0,0
2021-04-01 14:15,120,56,64,0,0,0
2021-04-01 14:30,133,52,81,0,0,0
2021-04-01 14:45,149,74,75,0,0,0
2021-04-01 15:00,153,62,91,0,0,0
2021-04-01 15:15,154,75,79,0,0,0
2021-04-01 15:30,164,70,94,0,0,0
2021-04-01 15:45,171,72,99,0,0,0
2021-04-01 16:00,155,58,97,0,0,0
2021-04-01 16:15,186,81,105,0,0,0
2021-04-01 16:30,149,62,87,0,0,0
2021-04-01 16:45,174,70,104,0,0,0
2021-04-01 17:00,170,64,106,0,0,0
2021-04-01 17:15,164,57,107,0,0,0
2021-04-01 17:30,139,48,91,0,0,0
2021-04-01 17:45,145,54,91,0,0,0
2021-04-01 18:00,174,58,116,0,0,0
2021-04-01 18:15,120,42,78,0,0,0
2021-04-01 18:30,106,40,66,0,0,0
2021-04-01 18:45,96,29,67,0,0,0
2021-04-01 19:00,93,32,61,0,0,0
2021-04-01 19:15,86,34,52,0,0,0
2021-04-01 19:30,95,42,53,0,0,0
2021-04-01 19:45,72,27,45,0,0,0
2021-04-01 20:00,62,19,43,0,0,0
2021-04-01 20:15,43,11,32,0,0,0
2021-04-01 20:30,32,18,14,0,0,0
2021-04-01 20:45,40,13,27,0,0,0
2021-04-01 21:00,27,13,14,0,0,0
2021-04-01 21:15,28,12,16,0,0,0
2021-04-01 21:30,23,7,16,0,0,0
2021-04-01 21:45,14,9,5,0,0,0
2021-04-01 22:00,10,5,5,0,0,0
2021-04-01 22:15,22,8,14,0,0,0
2021-04-01 22:30,13,5,8,0,0,0
2021-04-01 22:45,11,6,5,0,0,0
2021-04-01 23:00,17,2,15,0,0,0
2021-04-01 23:15,11,4,7,0,0,0
2021-04-01 23:30,15,4,11,0,0,0
2021-04-01 23:45,10,4,6,0,0,0
2021-04-02 00:00,9,4,5,0,0,0
2021-04-02 00:15,6,2,4,0,0,0
2021-04-02 00:30,8,5,3,0,0,0
2021-04-02 00:45,7,5,2,0,0,0
2021-04-02 01:00,15,4,11,0,0,0
