Datetime,100034981 (Weseler Straße),101034981 (Weseler Straße stadteinwärts),102034981 (Weseler Straße stadtauswärts),100034981-status,101034981-status,102034981-status
2023-05-01 00:00,18,15,3,0,0,0
2023-05-01 00:15,12,6,6,0,0,0
2023-05-01 00:30,17,4,13,0,0,0
2023-05-01 00:45,15,6,9,0,0,0
2023-05-01 01:00,26,17,9,0,0,0
2023-05-01 01:15,6,3,3,0,0,0
2023-05-01 01:30,13,8,5,0,0,0
2023-05-01 01:45,5,0,5,0,0,0
2023-05-01 02:00,19,3,16,0,0,0
2023-05-01 02:15,3,0,3,0,0,0
2023-05-01 02:30,6,0,6,0,0,0
2023-05-01 02:45,5,0,5,0,0,0
2023-05-01 03:00,5,1,4,0,0,0
2023-05-01 03:15,10,7,3,0,0,0
2023-05-01 03:30,9,2,7,0,0,0
2023-05-01 03:45,2,0,2,0,0,0
2023-05-01 04:00,5,1,4,0,0,0
2023-05-01 04:15,3,2,1,0,0,0
2023-05-01 04:30,3,0,3,0,0,0
2023-05-01 04:45,1,0,1,0,0,0
2023-05-01 05:00,3,0,3,0,0,0
2023-05-01 05:15,3,1,2,0,0,0
2023-05-01 05:30,3,2,1,0,0,0
2023-05-01 05:45,3,1,2,0,0,0
2023-05-01 06:00,3,3,0,0,0,0
2023-05-01 06:15,2,1,1,0,0,0
2023-05-01 06:30,0,0,0,0,0,0
2023-05-01 06:45,2,2,0,0,0,0
2023-05-01 07:00,2,1,1,0,0,0
2023-05-01 07:15,5,2,3,0,0,0
2023-05-01 07:30,3,2,1,0,0,0
2023-05-01 07:45,4,4,0,0,0,0
2023-05-01 08:00,3,2,1,0,0,0
2023-05-01 08:15,11,8,3,0,0,0
2023-05-01 08:30,5,5,0,0,0,0
2023-05-01 08:45,5,2,3,0,0,0
2023-05-01 09:00,9,6,3,0,0,0
2023-05-01 09:15,14,9,5,0,0,0
2023-05-01 09:30,29,22,7,0,0,0
2023-05-01 09:45,26,14,12,0,0,0
2023-05-01 10:00,18,12,6,0,0,0
2023-05-01 10:15,29,18,11,0,0,0
2023-05-01 10:30,37,25,12,0,0,0
2023-05-01 10:45,41,31,10,0,0,0
2023-05-01 11:00,56,44,12,0,0,0
2023-05-01 11:15,33,26,7,0,0,0
2023-05-01 11:30,35,21,14,0,0,0
2023-05-01 11:45,38,25,13,0,0,0
2023-05-01 12:00,48,26,22,0,0,0
2023-05-01 12:15,42,26,16,0,0,0
2023-05-01 12:30,33,18,15,0,0,0
2023-05-01 12:45,44,21,23,0,0,0
2023-05-01 13:00,61,44,17,0,0,0
2023-05-01 13:15,40,26,14,0,0,0
2023-05-01 13:30,45,25,20,0,0,0
2023-05-01 13:45,66,46,20,0,0,0
2023-05-01 14:00,54,25,29,0,0,0
2023-05-01 14:15,54,33,21,0,0,0
2023-05-01 14:30,37,24,13,0,0,0
2023-05-01 14:45,44,30,14,0,0,0
2023-05-01 15:00,47,26,21,0,0,0
2023-05-01 15:15,65,39,26,0,0,0
2023-05-01 15:30,46,22,24,0,0,0
2023-05-01 15:45,39,14,25,0,0,0
2023-05-01 16:00,31,17,14,0,0,0
2023-05-01 16:15,42,26,16,0,0,0
2023-05-01 16:30,30,24,6,0,0,0
2023-05-01 16:45,42,24,18,0,0,0
2023-05-01 17:00,33,24,9,0,0,0
2023-05-01 17:15,60,34,26,0,0,0
2023-05-01 17:30,55,18,37,0,0,0
2023-05-01 17:45,71,29,42,0,0,0
2023-05-01 18:00,36,24,12,0,0,0
2023-05-01 18:15,48,25,23,0,0,0
2023-05-01 18:30,47,32,15,0,0,0
2023-05-01 18:45,66,27,39,0,0,0
2023-05-01 19:00,54,13,41,0,0,0
2023-05-01 19:15,26,16,10,0,0,0
2023-05-01 19:30,21,11,10,0,0,0
2023-05-01 19:45,21,7,14,0,0,0
2023-05-01 20:00,28,14,14,0,0,0
2023-05-01 20:15,19,14,5,0,0,0
2023-05-01 20:30,22,14,8,0,0,0
2023-05-01 20:45,20,11,9,0,0,0
2023-05-01 21:00,28,19,9,0,0,0
2023-05-01 21:15,17,11,6,0,0,0
2023-05-01 21:30,21,13,8,0,0,0
2023-05-01 21:45,10,4,6,0,0,0
2023-05-01 22:00,17,13,4,0,0,0
2023-05-01 22:15,10,3,7,0,0,0
2023-05-01 22:30,11,7,4,0,0,0
2023-05-01 22:45,4,3,1,0,0,0
2023-05-01 23:00,5,4,1,0,0,0
2023-05-01 23:15,6,1,5,0,0,0
2023-05-01 23:30,4,3,1,0,0,0
2023-05-01 23:45,11,5,6,0,0,0
