Datetime,100034983 (Warendorfer Straße),101034983 (Warendorfer Straße stadteinwärts),102034983 (Warendorfer Straße stadtauswärts),100034983-status,101034983-status,102034983-status
2020-07-01 00:00,22,11,11,0,0,0
2020-07-01 00:15,16,9,7,0,0,0
2020-07-01 00:30,14,10,4,0,0,0
2020-07-01 00:45,8,6,2,0,0,0
2020-07-01 01:00,11,8,3,0,0,0
2020-07-01 01:15,6,3,3,0,0,0
2020-07-01 01:30,6,3,3,0,0,0
2020-07-01 01:45,8,6,2,0,0,0
2020-07-01 02:00,3,1,2,0,0,0
2020-07-01 02:15,2,2,0,0,0,0
2020-07-01 02:30,0,0,0,0,0,0
2020-07-01 02:45,5,3,2,0,0,0
2020-07-01 03:00,0,0,0,0,0,0
2020-07-01 03:15,1,0,1,0,0,0
2020-07-01 03:30,2,2,0,0,0,0
2020-07-01 03:45,0,0,0,0,0,0
2020-07-01 04:00,1,0,1,0,0,0
2020-07-01 04:15,0,0,0,0,0,0
2020-07-01 04:30,2,2,0,0,0,0
2020-07-01 04:45,1,1,0,0,0,0
2020-07-01 05:00,2,1,1,0,0,0
2020-07-01 05:15,2,2,0,0,0,0
2020-07-01 05:30,14,7,7,0,0,0
2020-07-01 05:45,21,9,12,0,0,0
2020-07-01 06:00,15,11,4,0,0,0
2020-07-01 06:15,23,16,7,0,0,0
2020-07-01 06:30,27,17,10,0,0,0
2020-07-01 06:45,50,33,17,0,0,0
2020-07-01 07:00,71,48,23,0,0,0
2020-07-01 07:15,69,36,33,0,0,0
2020-07-01 07:30,82,51,31,0,0,0
2020-07-01 07:45,97,72,25,0,0,0
2020-07-01 08:00,65,45,20,0,0,0
2020-07-01 08:15,101,78,23,0,0,0
2020-07-01 08:30,88,70,18,0,0,0
2020-07-01 08:45,100,73,27,0,0,0
2020-07-01 09:00,61,48,13,0,0,0
2020-07-01 09:15,94,76,18,0,0,0
2020-07-01 09:30,77,63,14,0,0,0
2020-07-01 09:45,92,63,29,0,0,0
2020-07-01 10:00,56,38,18,0,0,0
2020-07-01 10:15,50,36,14,0,0,0
2020-07-01 10:30,66,40,26,0,0,0
2020-07-01 10:45,63,49,14,0,0,0
2020-07-01 11:00,70,38,32,0,0,0
2020-07-01 11:15,78,51,27,0,0,0
2020-07-01 11:30,102,73,29,0,0,0
2020-07-01 11:45,84,61,23,0,0,0
2020-07-01 12:00,84,56,28,0,0,0
2020-07-01 12:15,72,48,24,0,0,0
2020-07-01 12:30,90,45,45,0,0,0
2020-07-01 12:45,68,27,41,0,0,0
2020-07-01 13:00,69,27,42,0,0,0
2020-07-01 13:15,75,26,49,0,0,0
2020-07-01 13:30,62,30,32,0,0,0
2020-07-01 13:45,66,38,28,0,0,0
2020-07-01 14:00,79,37,42,0,0,0
2020-07-01 14:15,55,29,26,0,0,0
2020-07-01 14:30,69,29,40,0,0,0
2020-07-01 14:45,52,23,29,0,0,0
2020-07-01 15:00,43,19,24,0,0,0
2020-07-01 15:15,55,35,20,0,0,0
2020-07-01 15:30,45,17,28,0,0,0
2020-07-01 15:45,71,43,28,0,0,0
2020-07-01 16:00,72,41,31,0,0,0
2020-07-01 16:15,69,31,38,0,0,0
2020-07-01 16:30,69,32,37,0,0,0
2020-07-01 16:45,91,48,43,0,0,0
2020-07-01 17:00,96,55,41,0,0,0
2020-07-01 17:15,110,53,57,0,0,0
2020-07-01 17:30,119,63,56,0,0,0
2020-07-01 17:45,126,71,55,0,0,0
2020-07-01 18:00,91,53,38,0,0,0
2020-07-01 18:15,105,56,49,0,0,0
2020-07-01 18:30,113,51,62,0,0,0
2020-07-01 18:45,111,50,61,0,0,0
2020-07-01 19:00,101,43,58,0,0,0
2020-07-01 19:15,76,39,37,0,0,0
2020-07-01 19:30,71,31,40,0,0,0
2020-07-01 19:45,84,42,42,0,0,0
2020-07-01 20:00,64,32,32,0,0,0
2020-07-01 20:15,49,14,35,0,0,0
2020-07-01 20:30,37,21,16,0,0,0
2020-07-01 20:45,34,20,14,0,0,0
2020-07-01 21:00,38,22,16,0,0,0
2020-07-01 21:15,45,21,24,0,0,0
2020-07-01 21:30,39,23,16,0,0,0
2020-07-01 21:45,34,13,21,0,0,0
2020-07-01 22:00,48,12,36,0,0,0
2020-07-01 22:15,30,16,14,0,0,0
2020-07-01 22:30,36,12,24,0,0,0
2020-07-01 22:45,21,11,10,0,0,0
2020-07-01 23:00,18,7,11,0,0,0
2020-07-01 23:15,41,24,17,0,0,0
2020-07-01 23:30,21,9,12,0,0,0
2020-07-01 23:45,13,4,9,0,0,0
2020-07-02 00:00,24,13,11,0,0,0
2020-07-02 00:15,10,6,4,0,0,0
2020-07-02 00:30,22,18,4,0,0,0
2020-07-02 00:45,14,11,3,0,0,0
2020-07-02 01:00,14,9,5,0,0,0
2020-07-02 01:15,5,0,5,0,0,0
2020-07-02 01:30,4,1,3,0,0,0
2020-07-02 01:45,6,4,2,0,0,0
2020-07-02 02:00,6,4,2,0,0,0
2020-07-02 02:15,4,3,1,0,0,0
2020-07-02 02:30,1,0,1,0,0,0
2020-07-02 02:45,3,0,3,0,0,0
2020-07-02 03:00,2,0,2,0,0,0
2020-07-02 03:15,2,0,2,0,0,0
2020-07-02 03:30,2,2,0,0,0,0
2020-07-02 03:45,1,1,0,0,0,0
2020-07-02 04:00,1,0,1,0,0,0
2020-07-02 04:15,3,1,2,0,0,0
2020-07-02 04:30,1,1,0,0,0,0
2020-07-02 04:45,3,2,1,0,0,0
2020-07-02 05:00,1,0,1,0,0,0
2020-07-02 05:15,1,0,1,0,0,0
2020-07-02 05:30,15,11,4,0,0,0
2020-07-02 05:45,20,11,9,0,0,0
2020-07-02 06:00,18,12,6,0,0,0
2020-07-02 06:15,22,14,8,0,0,0
2020-07-02 06:30,38,21,17,0,0,0
2020-07-02 06:45,60,42,18,0,0,0
2020-07-02 07:00,77,51,26,0,0,0
2020-07-02 07:15,104,63,41,0,0,0
2020-07-02 07:30,102,64,38,0,0,0
2020-07-02 07:45,143,92,51,0,0,0
2020-07-02 08:00,108,85,23,0,0,0
2020-07-02 08:15,126,90,36,0,0,0
2020-07-02 08:30,109,83,26,0,0,0
2020-07-02 08:45,138,108,30,0,0,0
2020-07-02 09:00,92,67,25,0,0,0
2020-07-02 09:15,116,81,35,0,0,0
2020-07-02 09:30,82,57,25,0,0,0
2020-07-02 09:45,108,79,29,0,0,0
2020-07-02 10:00,100,72,28,0,0,0
2020-07-02 10:15,113,64,49,0,0,0
2020-07-02 10:30,103,70,33,0,0,0
2020-07-02 10:45,115,80,35,0,0,0
2020-07-02 11:00,88,60,28,0,0,0
2020-07-02 11:15,113,79,34,0,0,0
2020-07-02 11:30,97,70,27,0,0,0
2020-07-02 11:45,128,74,54,0,0,0
2020-07-02 12:00,107,67,40,0,0,0
2020-07-02 12:15,124,72,52,0,0,0
2020-07-02 12:30,92,45,47,0,0,0
2020-07-02 12:45,134,75,59,0,0,0
2020-07-02 13:00,109,52,57,0,0,0
2020-07-02 13:15,109,57,52,0,0,0
2020-07-02 13:30,91,47,44,0,0,0
2020-07-02 13:45,136,93,43,0,0,0
2020-07-02 14:00,126,57,69,0,0,0
2020-07-02 14:15,138,75,63,0,0,0
2020-07-02 14:30,131,80,51,0,0,0
2020-07-02 14:45,134,79,55,0,0,0
2020-07-02 15:00,141,76,65,0,0,0
2020-07-02 15:15,122,62,60,0,0,0
2020-07-02 15:30,140,81,59,0,0,0
2020-07-02 15:45,173,89,84,0,0,0
2020-07-02 16:00,188,100,88,0,0,0
2020-07-02 16:15,193,90,103,0,0,0
2020-07-02 16:30,177,92,85,0,0,0
2020-07-02 16:45,164,97,67,0,0,0
2020-07-02 17:00,170,89,81,0,0,0
2020-07-02 17:15,155,65,90,0,0,0
2020-07-02 17:30,145,68,77,0,0,0
2020-07-02 17:45,169,82,87,0,0,0
2020-07-02 18:00,168,83,85,0,0,0
2020-07-02 18:15,128,59,69,0,0,0
2020-07-02 18:30,89,42,47,0,0,0
2020-07-02 18:45,122,59,63,0,0,0
2020-07-02 19:00,113,41,72,0,0,0
2020-07-02 19:15,99,35,64,0,0,0
2020-07-02 19:30,64,28,36,0,0,0
2020-07-02 19:45,80,46,34,0,0,0
2020-07-02 20:00,92,50,42,0,0,0
2020-07-02 20:15,55,26,29,0,0,0
2020-07-02 20:30,48,24,24,0,0,0
2020-07-02 20:45,25,12,13,0,0,0
2020-07-02 21:00,33,16,17,0,0,0
2020-07-02 21:15,36,17,19,0,0,0
2020-07-02 21:30,28,15,13,0,0,0
2020-07-02 21:45,28,22,6,0,0,0
2020-07-02 22:00,33,19,14,0,0,0
2020-07-02 22:15,31,12,19,0,0,0
2020-07-02 22:30,45,25,20,0,0,0
2020-07-02 22:45,33,16,17,0,0,0
2020-07-02 23:00,38,17,21,0,0,0
2020-07-02 23:15,15,9,6,0,0,0
2020-07-02 23:30,14,6,8,0,0,0
2020-07-02 23:45,17,11,6,0,0,0
2020-07-03 00:00,12,6,6,0,0,0
2020-07-03 00:15,13,6,7,0,0,0
2020-07-03 00:30,14,8,6,0,0,0
2020-07-03 00:45,7,2,5,0,0,0
2020-07-03 01:00,7,5,2,0,0,0
2020-07-03 01:15,4,0,4,0,0,0
2020-07-03 01:30,5,2,3,0,0,0
2020-07-03 01:45,3,1,2,0,0,0
2020-07-03 02:00,2,1,1,0,0,0
2020-07-03 02:15,1,1,0,0,0,0
2020-07-03 02:30,3,1,2,0,0,0
2020-07-03 02:45,6,2,4,0,0,0
2020-07-03 03:00,3,3,0,0,0,0
2020-07-03 03:15,1,1,0,0,0,0
2020-07-03 03:30,2,2,0,0,0,0
