Datetime,100035541 (Neutor),101035541 (Neutor stadteinwärts),102035541 (Neutor stadtauswärts),100035541-status,101035541-status,102035541-status
2019-04-01 00:00,12,4,8,0,0,0
2019-04-01 00:15,12,7,5,0,0,0
2019-04-01 00:30,20,5,15,0,0,0
2019-04-01 00:45,10,0,10,0,0,0
2019-04-01 01:00,8,6,2,0,0,0
2019-04-01 01:15,9,3,6,0,0,0
2019-04-01 01:30,7,2,5,0,0,0
2019-04-01 01:45,2,1,1,0,0,0
2019-04-01 02:00,4,2,2,0,0,0
2019-04-01 02:15,4,3,1,0,0,0
2019-04-01 02:30,0,0,0,0,0,0
2019-04-01 02:45,2,0,2,0,0,0
2019-04-01 03:00,0,0,0,0,0,0
2019-04-01 03:15,2,0,2,0,0,0
2019-04-01 03:30,1,1,0,0,0,0
2019-04-01 03:45,1,1,0,0,0,0
2019-04-01 04:00,2,2,0,0,0,0
2019-04-01 04:15,4,2,2,0,0,0
2019-04-01 04:30,7,2,5,0,0,0
2019-04-01 04:45,6,4,2,0,0,0
2019-04-01 05:00,10,6,4,0,0,0
2019-04-01 05:15,11,8,3,0,0,0
2019-04-01 05:30,17,8,9,0,0,0
2019-04-01 05:45,19,11,8,0,0,0
2019-04-01 06:00,15,12,3,0,0,0
2019-04-01 06:15,33,18,15,0,0,0
2019-04-01 06:30,61,37,24,0,0,0
2019-04-01 06:45,91,73,18,0,0,0
2019-04-01 07:00,113,73,40,0,0,0
2019-04-01 07:15,139,98,41,0,0,0
2019-04-01 07:30,286,170,116,0,0,0
2019-04-01 07:45,391,184,207,0,0,0
2019-04-01 08:00,289,165,124,0,0,0
2019-04-01 08:15,242,153,89,0,0,0
2019-04-01 08:30,257,150,107,0,0,0
2019-04-01 08:45,287,187,100,0,0,0
2019-04-01 09:00,210,141,69,0,0,0
2019-04-01 09:15,191,110,81,0,0,0
2019-04-01 09:30,278,127,151,0,0,0
2019-04-01 09:45,438,215,223,0,0,0
2019-04-01 10:00,294,164,130,0,0,0
2019-04-01 10:15,178,91,87,0,0,0
2019-04-01 10:30,138,79,59,0,0,0
2019-04-01 10:45,163,83,80,0,0,0
2019-04-01 11:00,148,89,59,0,0,0
2019-04-01 11:15,191,114,77,0,0,0
2019-04-01 11:30,251,133,118,0,0,0
2019-04-01 11:45,379,204,175,0,0,0
2019-04-01 12:00,314,194,120,0,0,0
2019-04-01 12:15,210,105,105,0,0,0
2019-04-01 12:30,190,120,70,0,0,0
2019-04-01 12:45,260,152,108,0,0,0
2019-04-01 13:00,312,130,182,0,0,0
2019-04-01 13:15,247,144,103,0,0,0
2019-04-01 13:30,318,146,172,0,0,0
2019-04-01 13:45,414,231,183,0,0,0
2019-04-01 14:00,292,163,129,0,0,0
2019-04-01 14:15,218,112,106,0,0,0
2019-04-01 14:30,254,122,132,0,0,0
2019-04-01 14:45,213,123,90,0,0,0
2019-04-01 15:00,282,150,132,0,0,0
2019-04-01 15:15,222,113,109,0,0,0
2019-04-01 15:30,293,139,154,0,0,0
2019-04-01 15:45,507,274,233,0,0,0
2019-04-01 16:00,375,193,182,0,0,0
2019-04-01 16:15,288,126,162,0,0,0
2019-04-01 16:30,299,135,164,0,0,0
2019-04-01 16:45,316,148,168,0,0,0
2019-04-01 17:00,339,160,179,0,0,0
2019-04-01 17:15,303,128,175,0,0,0
2019-04-01 17:30,386,172,214,0,0,0
2019-04-01 17:45,482,269,213,0,0,0
2019-04-01 18:00,346,167,179,0,0,0
2019-04-01 18:15,303,123,180,0,0,0
2019-04-01 18:30,268,126,142,0,0,0
2019-04-01 18:45,299,144,155,0,0,0
2019-04-01 19:00,252,119,133,0,0,0
2019-04-01 19:15,252,117,135,0,0,0
2019-04-01 19:30,217,70,147,0,0,0
2019-04-01 19:45,287,128,159,0,0,0
2019-04-01 20:00,236,93,143,0,0,0
2019-04-01 20:15,179,74,105,0,0,0
2019-04-01 20:30,149,54,95,0,0,0
2019-04-01 20:45,147,50,97,0,0,0
2019-04-01 21:00,138,49,89,0,0,0
2019-04-01 21:15,107,38,69,0,0,0
2019-04-01 21:30,103,43,60,0,0,0
2019-04-01 21:45,126,34,92,0,0,0
2019-04-01 22:00,111,36,75,0,0,0
2019-04-01 22:15,86,26,60,0,0,0
2019-04-01 22:30,123,33,90,0,0,0
2019-04-01 22:45,80,27,53,0,0,0
2019-04-01 23:00,68,24,44,0,0,0
2019-04-01 23:15,52,20,32,0,0,0
2019-04-01 23:30,53,24,29,0,0,0
2019-04-01 23:45,48,29,19,0,0,0
2019-04-02 00:00,60,27,33,0,0,0
2019-04-02 00:15,25,15,10,0,0,0
2019-04-02 00:30,45,21,24,0,0,0
2019-04-02 00:45,27,7,20,0,0,0
2019-04-02 01:00,33,23,10,0,0,0
2019-04-02 01:15,15,6,9,0,0,0
2019-04-02 01:30,18,1,17,0,0,0
2019-04-02 01:45,13,0,13,0,0,0
2019-04-02 02:00,14,1,13,0,0,0
2019-04-02 02:15,13,2,11,0,0,0
2019-04-02 02:30,12,5,7,0,0,0
2019-04-02 02:45,13,5,8,0,0,0
2019-04-02 03:00,10,6,4,0,0,0
2019-04-02 03:15,12,0,12,0,0,0
2019-04-02 03:30,11,1,10,0,0,0
2019-04-02 03:45,13,4,9,0,0,0
2019-04-02 04:00,12,3,9,0,0,0
2019-04-02 04:15,8,1,7,0,0,0
2019-04-02 04:30,20,7,13,0,0,0
2019-04-02 04:45,15,5,10,0,0,0
2019-04-02 05:00,13,6,7,0,0,0
2019-04-02 05:15,14,11,3,0,0,0
2019-04-02 05:30,19,10,9,0,0,0
2019-04-02 05:45,22,11,11,0,0,0
2019-04-02 06:00,23,16,7,0,0,0
2019-04-02 06:15,46,33,13,0,0,0
2019-04-02 06:30,48,29,19,0,0,0
2019-04-02 06:45,88,63,25,0,0,0
2019-04-02 07:00,97,60,37,0,0,0
2019-04-02 07:15,156,105,51,0,0,0
2019-04-02 07:30,287,167,120,0,0,0
2019-04-02 07:45,539,287,252,0,0,0
2019-04-02 08:00,407,204,203,0,0,0
2019-04-02 08:15,242,144,98,0,0,0
2019-04-02 08:30,273,136,137,0,0,0
2019-04-02 08:45,304,198,106,0,0,0
2019-04-02 09:00,238,170,68,0,0,0
2019-04-02 09:15,181,112,69,0,0,0
2019-04-02 09:30,239,127,112,0,0,0
2019-04-02 09:45,461,222,239,0,0,0
2019-04-02 10:00,381,218,163,0,0,0
2019-04-02 10:15,193,105,88,0,0,0
2019-04-02 10:30,155,88,67,0,0,0
2019-04-02 10:45,186,106,80,0,0,0
2019-04-02 11:00,153,87,66,0,0,0
2019-04-02 11:15,200,124,76,0,0,0
2019-04-02 11:30,222,112,110,0,0,0
2019-04-02 11:45,458,299,159,0,0,0
2019-04-02 12:00,297,157,140,0,0,0
2019-04-02 12:15,217,115,102,0,0,0
2019-04-02 12:30,212,105,107,0,0,0
2019-04-02 12:45,200,93,107,0,0,0
2019-04-02 13:00,271,136,135,0,0,0
2019-04-02 13:15,246,110,136,0,0,0
2019-04-02 13:30,323,132,191,0,0,0
2019-04-02 13:45,491,222,269,0,0,0
2019-04-02 14:00,295,151,144,0,0,0
2019-04-02 14:15,216,107,109,0,0,0
2019-04-02 14:30,204,105,99,0,0,0
2019-04-02 14:45,200,103,97,0,0,0
2019-04-02 15:00,211,103,108,0,0,0
2019-04-02 15:15,251,135,116,0,0,0
2019-04-02 15:30,313,153,160,0,0,0
2019-04-02 15:45,429,221,208,0,0,0
2019-04-02 16:00,340,184,156,0,0,0
2019-04-02 16:15,261,137,124,0,0,0
