Lfd. Nummer,Name des Flughafens,Ort,Land,IATA,ICAO,Latitude,Longitude,Altitude,Zeitzone,DST,Zeitzonen-Datenbank,geo_punkt,
8703,Barberton Airport,Barberton,South Africa,0,FABR,-25.716869,30.97518,686,2,U,Africa/Johannesburg,-25.716869,30.97518
330,Jena-Schöngleina Airport,Jena,Deutschland,0,EDBJ,50.91527939,11.71444416,380,1,E,Europe/Berlin,50.91527939,11.71444416
13493,COLNIZA Airport,COLNIZA,Brazil,0,SIXZ,-9.446111111,-59.19916667,168,-4,S,0,-9.446111111,-59.19916667
1165,Kigali International Airport,Kigali,Rwanda,KGL,HRYR,-1.968629956,30.13949966,1481,2,U,Africa/Kigali,-1.968629956,30.13949966
10723,Elsenthal Grafe Airport,Elsenthal,Deutschland,0,EDNF,48.82249832,13.36750031,432,1,E,0,48.82249832,13.36750031
320,Eisenhüttenstadt Airport,Eisenhuettenstadt,Deutschland,0,EDAE,52.195856,14.58753,44,1,E,Europe/Berlin,52.195856,14.58753
8051,Lake Hood Seaplane Base,Anchorage,United States,0,PALH,61.18000031,-149.9720001,22,-9,A,America/Anchorage,61.18000031,-149.9720001
317,Bautzen Airport,Bautzen,Deutschland,0,EDAB,51.19361115,14.51972198,173,1,E,Europe/Berlin,51.19361115,14.51972198
663,Tromsø Airport,Tromso,Norway,TOS,ENTC,69.6832962,18.91889954,9,1,E,Europe/Oslo,69.6832962,18.91889954
994,Seychelles International Airport,Mahe,Seychelles,SEZ,FSIA,-4.674339771,55.52180099,3,4,U,Indian/Mahe,-4.674339771,55.52180099
13668,JARU Airport,JARU,Brazil,0,SIDG,-10.42361111,-62.5175,168,-4,S,0,-10.42361111,-62.5175
1345,"Châteauroux-Déols ""Marcel Dassault"" Airport",Chateauroux,France,CHR,LFLX,46.86027778,1.7211111,161,1,E,Europe/Paris,46.86027778,1.7211111
280,Diori Hamani International Airport,Niamey,Niger,NIM,DRRN,13.48149967,2.183609962,223,1,N,Africa/Niamey,13.48149967,2.183609962
2241,Doha International Airport,Doha,Qatar,0,OTBD,25.261101,51.565102,11,3,U,Asia/Qatar,25.261101,51.565102
2651,Cerro Moreno Airport,Antofagasta,Chile,ANF,SCFA,-23.44449997,-70.44509888,139,-4,S,America/Santiago,-23.44449997,-70.44509888
3076,Dhaka / Hazrat Shahjalal International Airport,Dhaka,Bangladesh,DAC,VGZR,23.843347,90.397783,9,6,U,Asia/Dhaka,23.843347,90.397783
8302,Lagrange Callaway Airport,LaGrange,United States,LGC,KLGC,33.00889969,-85.07260132,211,-5,A,America/New_York,33.00889969,-85.07260132
7685,Koszalin Zegrze Pomorskie Air Base,Koszalin,Poland,OSZ,EPKO,54.0425,16.2656,76,1,E,Europe/Warsaw,54.0425,16.2656
7903,Marl-Loemühle Airport,Recklinghausen,Deutschland,0,EDLM,51.647202,7.16333,73,1,U,Europe/Berlin,51.647202,7.16333
8090,Ganderkesee Atlas Airfield Airport,Ganderkesee,Deutschland,0,EDWQ,53.03610992,8.505556107,29,1,E,Europe/Berlin,53.03610992,8.505556107
1287,Millau-Larzac Airport,Millau,France,0,LFCM,43.98929977,3.183000088,794,1,E,Europe/Paris,43.98929977,3.183000088
8432,Gera-Leumnitz Airport,Gera,Deutschland,0,EDAJ,50.88166809,12.13583279,309,1,E,Europe/Berlin,50.88166809,12.13583279
8620,Karlsruhe-Forchheim Airport,Karlsruhe,Deutschland,0,EDTK,48.9843,8.3355,116,1,E,Europe/Berlin,48.9843,8.3355
8850,Williamson Sodus Airport,Williamson,United States,0,KSDC,43.23469925,-77.1210022,129,-5,A,America/New_York,43.23469925,-77.1210022
4179,Rukumkot Airport,Rukumkot,Nepal,RUK,VNRK,28.62700081,82.19499969,762,5.75,N,Asia/Katmandu,28.62700081,82.19499969
3443,Grider Field,Pine Bluff,United States,PBF,KPBF,34.17309952,-91.93560028,63,-6,A,America/Chicago,34.17309952,-91.93560028
13499,Mostardas Airport,SANTO ANTONIO DO MATUPI,Brazil,0,SSMT,-7.908611111,-61.56277778,168,-4,S,0,-7.908611111,-61.56277778
1020,Ndjili International Airport,Kinshasa,Congo (Kinshasa),FIH,FZAA,-4.385749817,15.44460011,313,1,N,Africa/Kinshasa,-4.385749817,15.44460011
3125,Tribhuvan International Airport,Kathmandu,Nepal,KTM,VNKT,27.69659996,85.35910034,1338,5.75,N,Asia/Katmandu,27.69659996,85.35910034
8092,Damme Airport,Damme,Deutschland,0,EDWC,52.48749924,8.185556412,46,1,E,Europe/Berlin,52.48749924,8.185556412
7732,Lakeland Linder Regional Airport,Lakeland,United States,LAL,KLAL,27.98889923,-82.01860046,43,-5,A,America/New_York,27.98889923,-82.01860046
3758,El Centro Naval Air Facility,El Centro,United States,NJK,KNJK,32.829201,-115.671997,-13,-8,A,America/Los_Angeles,32.829201,-115.671997
10131,Donaldson Center Airport,Greenville,United States,GDC,KGYH,34.75830078,-82.37640381,291,-4,A,0,34.75830078,-82.37640381
13683,Fazenda Sao Nicolau Airport,COTRIGUACU,Brazil,0,SWQT,-9.904443779,-58.58216794,225,0,U,0,-9.904443779,-58.58216794
1001,Joshua Mqabuko Nkomo International Airport,Bulawayo,Zimbabwe,BUQ,FVBU,-20.01740074,28.61790085,1329,2,U,Africa/Harare,-20.01740074,28.61790085
582,Maastricht Aachen Airport,Maastricht,Netherlands,MST,EHBK,50.9117012,5.770140171,114,1,E,Europe/Amsterdam,50.9117012,5.770140171
2105,Abumusa Island Airport,Abumusa I.,Iran,AEU,OIBA,25.8757,55.03300095,7,3.5,E,Asia/Tehran,25.8757,55.03300095
11179,Maricá Airport,Marica,Brazil,0,SDMC,-22.91950035,-42.83089828,4,-3,S,0,-22.91950035,-42.83089828
2050,Kabul International Airport,Kabul,Afghanistan,KBL,OAKB,34.5658989,69.21230316,1791,4.5,U,Asia/Kabul,34.5658989,69.21230316
13268,Diass-Thies Blaise Diagne International Airport,Diass,Senegal,DSS,GOBD,14.67,-17.07333333,88,0,N,0,14.67,-17.07333333
11933,Cochrane Airport,Cochrane,Chile,LGR,SCHR,-47.24380112,-72.58840179,196,0,0,0,-47.24380112,-72.58840179
3485,Anniston Metropolitan Airport,Anniston,United States,ANB,KANB,33.58819962,-85.85810089,187,-6,A,America/Chicago,33.58819962,-85.85810089
8641,Marco Island Airport,Marco Island Airport,United States,MRK,KMKY,25.99500084,-81.67250061,2,-5,A,America/New_York,25.99500084,-81.67250061
893,Sir Seewoosagur Ramgoolam International Airport,Plaisance,Mauritius,MRU,FIMP,-20.43020058,57.68360138,57,4,N,Indian/Mauritius,-20.43020058,57.68360138
1005,Harare International Airport,Harare,Zimbabwe,HRE,FVHA,-17.93180084,31.09280014,1489,2,U,Africa/Harare,-17.93180084,31.09280014
1044,Senou Airport,Bamako,Mali,BKO,GABS,12.53349972,-7.949940205,380,0,N,Africa/Bamako,12.53349972,-7.949940205
1364,Mende-Brenoux Airport,Mende,France,MEN,LFNB,44.5021019,3.532819986,1025,1,E,Europe/Paris,44.5021019,3.532819986
246,Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,DFFD,12.35319996,-1.512420058,316,0,N,Africa/Ouagadougou,12.35319996,-1.512420058
8623,Château-Thierry - Belleau Airport,Chateau-Thierry,France,0,LFFH,49.06719971,3.356940031,222,1,E,Europe/Paris,49.06719971,3.356940031
881,Sir Seretse Khama International Airport,Gaberone,Botswana,GBE,FBSK,-24.55520058,25.91819954,1005,2,U,Africa/Gaborone,-24.55520058,25.91819954
691,Gothenburg City Airport,Gothenborg,Sweden,GSE,ESGP,57.77470016,11.87040043,18,1,E,Europe/Stockholm,57.77470016,11.87040043
7834,Hoogeveen Airport,Hoogeveen,Netherlands,0,EHHO,52.73080063,6.516109943,12,1,E,Europe/Amsterdam,52.73080063,6.516109943
1309,Dole-Tavaux Airport,Dole,France,DLE,LFGJ,47.042686,5.435061,197,1,E,Europe/Paris,47.042686,5.435061
8868,Spa (la Sauvenière) Airport,Spa,Belgium,0,EBSP,50.48249817,5.910299778,482,1,E,Europe/Brussels,50.48249817,5.910299778
11791,Cewice Military Airport,L?bork,Poland,0,EPCE,54.41600037,17.76329994,151,0,0,0,54.41600037,17.76329994
12007,Fedotovo Naval Air Base,Kipelovo,Russia,0,XLWF,59.188301,39.123299,175,0,0,0,59.188301,39.123299
11143,Conselheiro Lafaiete Airport,Conselheiro Lafaiete,Brazil,QDF,SNKF,-20.73859978,-43.79740143,1060,-3,S,0,-20.73859978,-43.79740143
1053,La Palma Airport,Santa Cruz De La Palma,Spain,SPC,GCLA,28.62649918,-17.75559998,33,0,E,Atlantic/Canary,28.62649918,-17.75559998
4303,Enghien Moisselles Airport,Enghien-moisselles,France,0,LFFE,49.04639816,2.353060007,102,1,E,Europe/Paris,49.04639816,2.353060007
