Lfd. Nummer;Name des Flughafens;Ort;Land;IATA;ICAO;Latitude;Longitude;Altitude;Zeitzone;DST;Zeitzonen-Datenbank;geo_punkt
8703;Barberton Airport;Barberton;South Africa;0;FABR;-25.716869;30.97518;686;2.0;U;Africa/Johannesburg;-25.716869, 30.97518
330;Jena-Schöngleina Airport;Jena;Deutschland;0;EDBJ;50.915279388427734;11.714444160461426;380;1.0;E;Europe/Berlin;50.9152793884, 11.7144441605
13493;COLNIZA Airport;COLNIZA;Brazil;0;SIXZ;-9.446111111;-59.199166667;168;-4.0;S;0;-9.446111111, -59.199166667
1165;Kigali International Airport;Kigali;Rwanda;KGL;HRYR;-1.9686299562499998;30.1394996643;1481;2.0;U;Africa/Kigali;-1.96862995625, 30.1394996643
10723;Elsenthal Grafe Airport;Elsenthal;Deutschland;0;EDNF;48.8224983215332;13.367500305175781;432;1.0;E;0;48.8224983215, 13.3675003052
320;Eisenhüttenstadt Airport;Eisenhuettenstadt;Deutschland;0;EDAE;52.195856;14.58753;44;1.0;E;Europe/Berlin;52.195856, 14.58753
8051;Lake Hood Seaplane Base;Anchorage;United States;0;PALH;61.18000030517578;-149.9720001220703;22;-9.0;A;America/Anchorage;61.1800003052, -149.972000122
317;Bautzen Airport;Bautzen;Deutschland;0;EDAB;51.19361114501953;14.519721984863281;173;1.0;E;Europe/Berlin;51.193611145, 14.5197219849
663;Tromsø Airport;Tromso;Norway;TOS;ENTC;69.68329620361328;18.918899536132812;9;1.0;E;Europe/Oslo;69.6832962036, 18.9188995361
994;Seychelles International Airport;Mahe;Seychelles;SEZ;FSIA;-4.674339771270752;55.52180099487305;3;4.0;U;Indian/Mahe;-4.67433977127, 55.5218009949
13668;JARU Airport;JARU;Brazil;0;SIDG;-10.423611111111;-62.5175;168;-4.0;S;0;-10.4236111111, -62.5175
1345;"Châteauroux-Déols ""Marcel Dassault"" Airport";Chateauroux;France;CHR;LFLX;46.86027778;1.7211111;161;1.0;E;Europe/Paris;46.86027778, 1.7211111
280;Diori Hamani International Airport;Niamey;Niger;NIM;DRRN;13.481499671936035;2.183609962463379;223;1.0;N;Africa/Niamey;13.4814996719, 2.18360996246
2241;Doha International Airport;Doha;Qatar;0;OTBD;25.261101;51.565102;11;3.0;U;Asia/Qatar;25.261101, 51.565102
