lfd_nr;stadtteil;standort;baumart_botanisch;baumart_deutsch;id;baumfamilie
23420;Dreikönigenviertel;Weberstr. 49;Castanea sativa;Esskastanie;51.1847, 6.69469;Esskastanie
23421;Dreikönigenviertel;Weberstr. 49;Juglans regia;Walnuß;51.1847, 6.69462;Walnuß
23423;Reuschenberg;Nierenhofstr. hinter Baumschule Erftufer;Castanea sativa;Esskastanie;51.1651, 6.69814;Esskastanie
23424;Erfttal;Parisstr. Grünzug;Malus domestica;Apfel, Rheinischer Bohn-;51.17, 6.71848;Apfel
23425;Norf;Zedernweg Grünzug;Malus domestica;Apfel, Rheinischer Bohn-;51.1492, 6.73003;Apfel
23431;Reuschenberg;Schwarzer Weg (Hochzeitshain);Malus domestica;Apfel, Rheinischer Bohn-;51.174, 6.69207;Apfel
23434;Reuschenberg;Schwarzer Weg (Hochzeitshain);Pyrus communis;Birne, Wild;51.1738, 6.69209;Birne
23444;Vogelsang Bols-Siedlung;Niederdonker Weg;Juglans regia;Walnuss;51.2312, 6.6833;Walnuss
23447;Vogelsang Bols-Siedlung;Niederdonker Weg;Pyrus communis;Birne, 'Gute Luise v. Avranches';51.2312, 6.6828;Birne
23450;Vogelsang Bols-Siedlung;Niederdonker Weg;Malus domestica;Apfel, Rheinischer Bohn-;51.2309, 6.68319;Apfel
23452;Vogelsang Bols-Siedlung;Niederdonker Weg;Malus domestica;Apfel, Rheinischer Bohn-;51.231, 6.68315;Apfel
23453;Vogelsang Bols-Siedlung;Niederdonker Weg;Malus domestica;Apfel, Rheinischer Bohn-;51.2311, 6.68323;Apfel
23459;Vogelsang Bols-Siedlung;Niederdonker Weg;Prunus dom.;Zwetsche, Haus-;51.2314, 6.68273;Zwetsche
23461;Vogelsang Bols-Siedlung;Niederdonker Weg;Castanea satvia;Esskastanie;51.2314, 6.68218;Esskastanie
23462;Vogelsang Bols-Siedlung;Niederdonker Weg;Castanea satvia;Esskastanie;51.2316, 6.68204;Esskastanie
23463;Vogelsang Bols-Siedlung;Niederdonker Weg;Castanea satvia;Esskastanie;51.2317, 6.68215;Esskastanie
23204;Hammfeld;Stresemannalle Ecke Hammfelddamm;Koelreuteria paniculata;Blasenbaum;51.1979, 6.70978;Blasenbaum
23205;Hammfeld;Stresemannalle Ecke Hammfelddamm;Koelreuteria paniculata;Blasenbaum;51.1979, 6.70994;Blasenbaum
23375;Weckhoven;An der Kreuzhecke (Grünzug);Acer campestre 'Elsrijk';Ahorn, Feld;51.1601, 6.70661;Ahorn
23332;Stadionviertel;Grefrather Weg Konrad-Adenauer-Ring (Grünzug);Corylus colurna;Hasel, Baum;51.1863, 6.67769;Hasel
23278;Pomona;"Jülicher Landstr. Ecke Konrad-Adenauer-Ring; vor Tanke";Platanus acerifolia;Platane;51.1838, 6.6785;Platane
23268;Pomona;"Jülicher Landstr. Ecke Konrad-Adenauer-Ring; vor Tanke";Platanus acerifolia;Platane;51.1839, 6.6786;Platane
23270;Pomona;"Jülicher Landstr. Ecke Konrad-Adenauer-Ring; vor Tanke";Platanus acerifolia;Platane;51.184, 6.67877;Platane
23082;Dreikönigenviertel;Am Keutenhof 10 ggb.;Sorbus aria 'Magnifica';Mehlbeere;51.1895, 6.6859;Mehlbeere
23275;Pomona;Bergheimerstr. 220 ggb.;Celtis australis;Zürgelbaum;51.1832, 6.68882;Zürgelbaum
23276;Pomona;Bergheimerstr. 234 ggb.;Celtis australis;Zürgelbaum;51.1825, 6.68864;Zürgelbaum
23212;Hammfeld;Hammer Landstr. 113;Alnus spaethii;Erle, Purpur;51.203, 6.7202;Erle
23213;Hammfeld;Hammer Landstr. 113;Alnus spaethii;Erle, Purpur;51.2031, 6.72044;Erle
23216;Hammfeld;Hammer Landstr. 113;Alnus spaethii;Erle, Purpur;51.2031, 6.72116;Erle
23218;Hammfeld;Hammer Landstr. 113;Alnus cordata;Erle, Italienische;51.2032, 6.72165;Erle
23219;Hammfeld;Hammer Landstr. 113;Alnus cordata;Erle, Italienische;51.2032, 6.72187;Erle
23220;Hammfeld;Hammer Landstr. 113;Alnus cordata;Erle, Italienische;51.2032, 6.72209;Erle
23227;Hammfeld;Carl-Schurz-Str. 2 ggb.;Quercus petraea;Eiche, Trauben;51.1961, 6.71293;Eiche
