Postleitzah,Bezirk,"Ins-
gesamt",unter 6, 6 - 15,15 - 18,18 - 27,27 - 45,45 - 55,55 - 65,"65 und
mehr","Darunter
weiblich"
10115,Mitte,26274,1754,2051,473,2461,11595,4253,2041,1646,12818
10117,Mitte,15531,782,881,250,1558,5346,2342,1854,2518,7489
10119,Mitte,15064,1014,1087,213,1319,6650,2543,1158,1080,7489
10119,Pankow,4606,336,426,118,423,1753,991,349,210,2258
10178,Mitte,14385,692,714,203,1588,5100,1856,1473,2759,6953
10179,Friedrichsh.-Kreuzb.,406,24,36,6,21,99,36,52,132,232
10179,Mitte,23564,1277,1143,355,2637,7603,3006,2535,5008,11692
10243,Friedrichsh.-Kreuzb.,30655,1730,1725,461,3578,11759,3630,2751,5021,15201
10245,Friedrichsh.-Kreuzb.,33509,2410,1869,485,3456,17523,4138,1870,1758,15966
10247,Friedrichsh.-Kreuzb.,38094,2691,2403,578,4063,19655,4651,2282,1771,18307
10247,Pankow,1397,189,301,60,58,464,249,43,33,684
10249,Friedrichsh.-Kreuzb.,27693,1827,1619,387,2491,11888,3348,2327,3806,13697
10249,Pankow,1192,140,120,6,59,490,126,72,179,638
10315,Lichtenberg,33424,1870,1908,522,3825,10810,3736,3825,6928,16393
10317,Lichtenberg,23021,1929,1681,349,2433,10453,2817,1686,1673,10981
10318,Lichtenberg,27217,2147,2505,623,2329,8067,4116,3084,4346,13915
10319,Lichtenberg,24481,1188,1458,434,2212,5719,2707,2764,7999,13038
10365,Lichtenberg,27052,1778,1869,572,3317,9294,3253,2660,4309,13177
10367,Lichtenberg,21735,1334,1327,347,2174,7156,2473,2207,4717,11090
10369,Lichtenberg,20386,1046,1232,353,1917,5237,2272,2155,6174,10462
10405,Pankow,32065,2449,2755,642,2706,13118,5507,2513,2375,15867
10407,Pankow,25254,1742,2200,504,2249,9369,4201,2165,2824,12699
10409,Pankow,23033,1087,1144,289,1981,7391,2836,2242,6063,12070
10435,Mitte,4117,340,316,54,300,1884,735,231,257,2093
10435,Pankow,13283,976,1166,247,1075,5762,2550,907,600,6491
10437,Pankow,32972,2511,2756,605,2804,14471,6329,2017,1479,16270
10439,Pankow,29073,1818,1847,404,2833,13299,4373,1925,2574,14537
10551,Mitte,19350,1053,1156,359,2895,6988,2505,2168,2226,9095
10553,Mitte,11725,635,770,221,2076,4316,1501,1143,1063,5273
10555,Mitte,17933,851,1069,376,2714,5600,2443,2243,2637,8858
10557,Mitte,17971,999,1198,412,2107,5372,2584,2082,3217,8806
10559,Mitte,16802,1082,1231,364,2572,6072,2166,1568,1747,7940
10585,Charlbg.-Wilmersd.,15268,802,953,342,1571,4525,2150,2025,2900,7770
10587,Charlbg.-Wilmersd.,13408,672,694,223,1515,4086,1957,1673,2588,6828
10589,Charlbg.-Wilmersd.,15298,750,811,257,1811,4819,2312,2100,2438,7695
10623,Charlbg.-Wilmersd.,6399,238,340,141,614,1711,1009,960,1386,3182
10625,Charlbg.-Wilmersd.,11864,514,594,192,1244,3267,1899,1717,2437,6007
10627,Charlbg.-Wilmersd.,14145,722,930,267,1830,4389,2057,1705,2245,6936
10629,Charlbg.-Wilmersd.,14162,689,801,253,1209,3451,2297,2159,3303,7290
10707,Charlbg.-Wilmersd.,12988,652,682,236,1087,3205,2005,1881,3240,6701
10709,Charlbg.-Wilmersd.,10516,467,584,213,957,2652,1482,1506,2655,5515
10711,Charlbg.-Wilmersd.,11235,497,657,225,1015,2985,1675,1629,2552,5744
10713,Charlbg.-Wilmersd.,12982,720,890,291,1552,3620,1890,1718,2301,6627
10715,Charlbg.-Wilmersd.,17326,820,1140,381,1840,4712,2664,2248,3521,8925
10717,Charlbg.-Wilmersd.,17287,746,985,366,1642,4298,2610,2470,4170,8933
10719,Charlbg.-Wilmersd.,10230,475,541,198,814,2422,1633,1483,2664,5212
10777,Charlbg.-Wilmersd.,3275,123,183,39,321,854,492,435,828,1661
10777,Tempelh.-Schšneb.,9729,403,436,144,959,2627,1714,1459,1987,4372
10779,Charlbg.-Wilmersd.,2405,103,139,37,203,568,410,334,611,1217
10779,Tempelh.-Schšneb.,6918,295,382,131,737,1798,1087,954,1534,3551
10781,Tempelh.-Schšneb.,14095,739,1002,325,1400,3950,2376,2044,2259,6999
10783,Tempelh.-Schšneb.,12694,677,1044,329,1636,3684,1961,1574,1789,5975
10785,Friedrichsh.-Kreuzb.,706,92,36,10,45,381,75,33,34,316
10785,Mitte,10936,587,798,286,1584,3461,1473,1319,1428,5000
10785,Tempelh.-Schšneb.,1475,63,100,34,169,398,226,236,249,658
10787,Charlbg.-Wilmersd.,124,3,6,4,3,31,12,24,41,55
10787,Mitte,3283,150,105,22,500,995,388,408,715,1576
10787,Tempelh.-Schšneb.,3827,206,329,115,452,1043,575,397,710,1787
10789,Charlbg.-Wilmersd.,3099,174,197,27,302,954,445,369,631,1450
10789,Tempelh.-Schšneb.,2185,97,145,61,193,619,273,316,481,1044
10823,Tempelh.-Schšneb.,9156,554,552,196,854,2815,1647,1278,1260,4656
