,Zeit,Weseler Straße (gesamt),Weseler Straße FR stadteinwärts,Weseler Straße FR stadtauswärts,Wetter,Temperatur (°C),Luftfeuchtigkeit (%),Gefühlte Temperatur (°C),Regen (mm),Wind (km/h)
,1. Jan. 2018 00:00,19,11,8,Leichter Regenfall,10,83,6,1,26
,1. Jan. 2018 01:00,35,19,16,Leichter Regenfall,9,81,5,1,27
,1. Jan. 2018 02:00,49,28,21,Mäßiger Regenfall,9,79,5,1,29
,1. Jan. 2018 03:00,37,20,17,Mäßiger Regenfall,8,77,4,0,31
,1. Jan. 2018 04:00,24,13,11,Mäßiger Regenfall,8,75,4,0,32
,1. Jan. 2018 05:00,11,6,5,Stellenweiser Regenfall,8,74,3,0,33
,1. Jan. 2018 06:00,6,3,3,Stellenweiser Regenfall,8,72,3,0,35
,1. Jan. 2018 07:00,6,3,3,Stellenweiser Regenfall,7,73,3,0,33
,1. Jan. 2018 08:00,10,5,5,Bedeckt,7,73,3,0,32
,1. Jan. 2018 09:00,15,8,7,Bedeckt,7,73,2,0,30
,1. Jan. 2018 10:00,8,4,4,Bedeckt,7,72,3,0,30
,1. Jan. 2018 11:00,36,20,16,Stellenweiser Regenfall,7,72,3,0,30
,1. Jan. 2018 12:00,40,22,18,Stellenweiser Regenfall,7,72,3,0,30
,1. Jan. 2018 13:00,36,20,16,Stellenweiser Regenfall,7,72,3,0,27
,1. Jan. 2018 14:00,44,25,19,Bedeckt,7,72,4,0,24
,1. Jan. 2018 15:00,44,25,19,Bedeckt,7,72,4,0,21
,1. Jan. 2018 16:00,49,28,21,Bedeckt,7,75,4,0,19
,1. Jan. 2018 17:00,49,28,21,Stellenweiser Regenfall,6,77,4,0,16
,1. Jan. 2018 18:00,28,15,13,Stellenweiser Regenfall,6,79,3,0,14
,1. Jan. 2018 19:00,35,20,15,Stellenweiser Regenfall,6,82,4,1,12
,1. Jan. 2018 20:00,29,16,13,Bedeckt,6,86,4,1,10
,1. Jan. 2018 21:00,10,5,5,Bedeckt,6,89,4,2,8
,1. Jan. 2018 22:00,6,3,3,Bedeckt,5,89,3,2,12
